Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std,FitSeconds_total,FitSeconds_mean,PredictSeconds_total,source_stage,source_priority,source_variant_file,variant_scope
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,raw,0.6750592418431387,0.2038268703352344,0.6963877145339186,0.16252382287104,0.6968477967018113,0.1591810139381694,155.5772536173463,31.11545072346926,0.1844519823789596,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,p1,0.6273086493637086,0.0710049564325502,0.6477651479839376,0.0561178496256366,0.6477967018113003,0.0514840475000663,159.32756423950195,31.86551284790039,0.095794104039669,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,raw,0.3774569444992329,0.0321841415388386,0.4230539364487259,0.0213132244728135,0.4229251148959178,0.0194705016796042,70.59785489737988,14.119570979475975,0.0205344557762146,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
G3_mba_molar_grade,MBA Positive Molar Grade,KAN-CNN,raw,0.3411979011106814,0.0659907062902437,0.4026545043693249,0.0460059759643798,0.3993511759935117,0.0472162975706052,87.61843398213387,17.523686796426773,0.0879623368382453,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P1_thiram_presence,Thiram Presence,RamanNet-Lite,p1,0.968596264315187,0.0222800330070015,0.969898537020504,0.021178618564438,0.974499693063229,0.0181651394407376,87.66022101789713,17.532044203579424,0.2619299590587616,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0.9544409920622406,0.0048340624124233,0.9420687153971984,0.0116122244697346,0.964487415592388,0.0029850291384687,223.67157323658463,44.734314647316936,0.0442719161510467,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,0.935971385179896,0.0189383334876006,0.9313688351588432,0.018022394585553,0.9489686924493554,0.0157767679901246,186.55736226588488,37.311472453176975,0.1236438974738121,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P1_thiram_presence,Thiram Presence,1D-CNN,p1,0.928463316119313,0.0301299197492397,0.9290363153408748,0.0319506482836628,0.9423020257826888,0.0252809287100814,265.0302288979292,53.00604577958584,0.1680232882499694,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,0.9196639607632152,0.0319256054350517,0.918166300166573,0.0473623601115574,0.9367648864333948,0.0222903455245266,305.4913879111409,61.098277582228185,0.1740660145878791,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P1_thiram_presence,Thiram Presence,RamanNet-Lite,raw,0.8319224264536611,0.0202100154326534,0.8056015326344866,0.0286807995864395,0.8779128299570289,0.0141671620095987,206.6854924336076,41.33709848672152,0.2903989031910896,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P1_thiram_presence,Thiram Presence,1D-ResNet,raw,0.7422566605139218,0.0962366618751656,0.779234501390104,0.0786341984938509,0.7680969920196439,0.1016456131908302,205.9680132120848,41.19360264241696,0.1719987615942955,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P1_thiram_presence,Thiram Presence,1D-CNN,raw,0.6887925706407395,0.111996585101327,0.7691315149885556,0.0733624327015294,0.7015469613259668,0.1215076705567074,174.74151802062988,34.948303604125975,0.1196140572428703,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,0.6649881792732255,0.110108919029399,0.6829513931747097,0.0764975234976861,0.7047391037446287,0.1221468919707817,225.61636685580007,45.12327337116003,0.1659324765205383,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P1_thiram_presence,Thiram Presence,KAN-CNN,raw,0.6391660013072831,0.0338835528290072,0.7348613659718144,0.0279503782451726,0.6460036832412523,0.0390383176616853,151.1796161979437,30.235923239588736,0.1167339086532592,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P2_mg_presence,MG Presence,RamanNet-Lite,p1,0.9513130587650902,0.0088789754468343,0.946452535822021,0.0092232800516718,0.9611540822590546,0.0068048165951827,266.26982601732016,53.253965203464034,0.1834344938397407,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P2_mg_presence,MG Presence,1D-ResNet,raw,0.9352797511260884,0.0199575602186369,0.9440078242835596,0.0250427391970052,0.9467341927562922,0.0164412508598716,442.1122251600027,88.42244503200054,0.1282522678375244,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P2_mg_presence,MG Presence,KAN-CNN,p1,0.9157893311317086,0.0129300923830765,0.9132489630467572,0.0092636293890073,0.9323081645181092,0.011292386932069,378.6081214994192,75.72162429988384,0.2361892685294151,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P2_mg_presence,MG Presence,1D-CNN,p1,0.9105184942985518,0.0242128889967234,0.8980742364253395,0.0258260517599673,0.930049109883364,0.0191663028685505,329.4245007634163,65.88490015268326,0.1276953294873237,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P2_mg_presence,MG Presence,Spectrum-KAN,p1,0.9098660109477674,0.0278463523795168,0.9169716251885368,0.0201073817662492,0.92561080417434,0.024475918345924,235.6110594123602,47.12221188247204,0.1764615997672081,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P2_mg_presence,MG Presence,1D-ResNet,p1,0.9096475367650972,0.0146216069394988,0.8947030071644042,0.0221671154491008,0.9300920810313076,0.0099410703006886,247.4867995157838,49.49735990315676,0.1066697686910629,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P2_mg_presence,MG Presence,1D-CNN,raw,0.8792282153503368,0.0380796996271924,0.866083286199095,0.0531512011422863,0.9079066912216084,0.0242463205855246,479.9568175971508,95.99136351943017,0.1915965601801872,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P2_mg_presence,MG Presence,KAN-CNN,raw,0.8758927149151742,0.0299434232153826,0.8848963518099549,0.0160284667517109,0.8967587476979743,0.0296328067565404,502.5120618715882,100.50241237431764,0.1143053248524665,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P2_mg_presence,MG Presence,RamanNet-Lite,raw,0.8258168548758912,0.0082915358517908,0.7883242835595776,0.0081058654238192,0.87902394106814,0.0060624324779971,234.6831529289484,46.93663058578968,0.1186990886926651,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P2_mg_presence,MG Presence,Spectrum-KAN,raw,0.810970643995328,0.0280918186932301,0.7782745569381598,0.0326150126041033,0.8679373848987109,0.0162409669180454,469.8030679002404,93.96061358004808,0.1717870905995369,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P3_mba_presence,MBA Presence,RamanNet-Lite,p1,0.9555940056048096,0.0252498831947569,0.9741329209025696,0.0168201753319421,0.9655739717618173,0.0205829954091277,121.02806501090528,24.205613002181053,0.1946502774953842,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P3_mba_presence,MBA Presence,1D-ResNet,raw,0.9400797871475725,0.0150312186011849,0.9312259584471434,0.0204547861277711,0.9567157765500308,0.0106805043619082,481.89638029038906,96.3792760580778,0.168834738433361,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P3_mba_presence,MBA Presence,1D-CNN,p1,0.9274105068866032,0.0156232645308386,0.9090989279429272,0.0200909884637808,0.948950276243094,0.0106552471199446,310.29880126565695,62.05976025313139,0.2706058174371719,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P3_mba_presence,MBA Presence,1D-ResNet,p1,0.9138593356268344,0.0368545135674933,0.8848521027624745,0.0480979245238693,0.9422713321055862,0.0224663186741495,182.3987976014614,36.47975952029228,0.1925256699323654,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,0.9112709944558702,0.0694111408060155,0.9397931159041328,0.0499929260621381,0.9279312461632904,0.0577818070792084,180.2497588545084,36.04995177090168,0.1265238523483276,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P3_mba_presence,MBA Presence,KAN-CNN,p1,0.8722712353964102,0.0333196476225014,0.8327232090039762,0.0379230952020232,0.9178637200736648,0.0173313173428692,417.7019395828247,83.54038791656494,0.1200117766857147,augmentation_aug_no_mixup,5,cv_results_summary_p1.csv,p1
P3_mba_presence,MBA Presence,RamanNet-Lite,raw,0.8055746333773988,0.0362232482555549,0.7648268430928421,0.0355210930915274,0.8801473296500921,0.0176945973777444,164.29819467663765,32.85963893532753,0.1953076273202896,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P3_mba_presence,MBA Presence,Spectrum-KAN,raw,0.7379022784066321,0.0586671119081829,0.7242862421533276,0.0466769051508328,0.8157335788827501,0.0537316142088437,158.5019330754876,31.70038661509752,0.192326582968235,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P3_mba_presence,MBA Presence,1D-CNN,raw,0.734307021524659,0.0979164689902813,0.7658382986773752,0.0925373368991518,0.7780662983425415,0.0891670380345042,253.4786763861776,50.69573527723551,0.1036801412701606,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
P3_mba_presence,MBA Presence,KAN-CNN,raw,0.6233961292737636,0.0325548282706821,0.6268864049308795,0.039131310568803,0.7203130755064457,0.0261945170550677,124.26693242788316,24.853386485576628,0.0429870039224624,augmentation_aug_no_mixup,5,cv_results_summary_raw.csv,raw
